序号,类别,抽取结果,原文依据,来源URL,判定,说明
180,实体·文献,〈共产党人〉发刊词（文献）,毛泽东发表《〈共产党人〉发刊词》，指出统一战线、武装斗争、党的建设是中国共产党在中国革命中战胜敌人的三个法宝，并把党的建设称为“伟大的工程”,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
181,实体·事件,中非合作论坛北京峰会举行（事件）,中非合作论坛北京峰会举行。峰会通过《中非合作论坛北京峰会宣言》和《中非合作论坛-北京行动计划(2007-2009年)》。 中非合作论坛北京峰会举行。习近平主持峰会并在开幕式上发表主旨讲话，提出中非要携手打造责任共担、合作共赢、幸福共享、文化,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
182,关系·领导,(周恩来)-[领导]->(周恩来主持新政协筹备会第二次全体会议),,https://www.dswxyjy.org.cn/GB/434461/434470/434590/index.html,对,
183,关系·创作,(毛泽东)-[创作]->(对日寇的最后一战),,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
184,关系·发生于,(中葡两国政府澳门政权交接仪式在澳门举行，宣告中国政府对澳门恢复行使主权)-[发生于]->(澳门),午夜-20日凌晨　中葡两国政府澳门政权交接仪式在澳门举行，宣告中国政府对澳门恢复行使主权。中华人民共和国澳门特别行政区成立。交接仪式后，举行中华人民共和国澳门特别行政区成立暨特区政府宣誓就职仪式。中国人民解放军驻澳部队于20日零时开始履行澳,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
185,关系·创作,(张闻天)-[创作]->(中央关于反对敌人五次“围剿”的总结的决议),,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
186,关系·创作,(周恩来)-[创作]->(关于发展国民经济的第二个五年计划的建议的报告),,https://www.dswxyjy.org.cn/GB/434461/434470/434589/index.html,对,
187,关系·任职,(毛泽东)-[任职/主席]->(中华人民共和国中央人民政府),,https://www.dswxyjy.org.cn/GB/434461/434470/434603/index.html,对,
188,关系·发生于,(中共中央政治局在北京召开全体会议，讨论我国改革和发展的若干重大问题)-[发生于]->(北京),中共中央政治局在北京召开全体会议，讨论我国改革和发展的若干重大问题。会议完全赞同邓小平的南方谈话，认为谈话不仅对当前的改革和建设，对开好十四大，具有十分重要的指导作用，而且对整个社会主义现代化建设事业具有重大而深远的意义。,https://www.dswxyjy.org.cn/GB/434461/434464/434766/index.html,对,
189,关系·发生于,(中国工程院在北京成立)-[发生于]->(北京),中国工程院在北京成立。它是中国工程技术界最高荣誉性、咨询性学术机构，国务院直属事业单位。中国工程院设立院士制度。工程院院士是国家设立的工程技术方面的最高学术称号，是从已经在工程科学技术领域中做出系统性、创造性成就和贡献的优秀工程科学技术专家,https://www.dswxyjy.org.cn/GB/434461/434467/434668/index.html,对,
190,关系·形成,(中国共产党第六届中央委员会第七次全体会议)-[形成]->(关于若干历史问题的决议),,https://www.dswxyjy.org.cn/GB/434461/434465/434746/index.html,对,
191,关系·创作,(邓小平)-[创作]->(目前的形势和任务),,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
192,关系·创作,(毛泽东)-[创作]->(红军第四军司令部布告),,https://www.dswxyjy.org.cn/GB/434461/434462/434831/index.html,对,
193,关系·发生于,(四届全国人大一次会议在北京举行)-[发生于]->(北京),四届全国人大一次会议在北京举行。周恩来在政府工作报告中重申了三届人大提出的发展我国国民经济的两步设想，即第一步，在1980年以前，建成一个独立的比较完整的工业体系和国民经济体系；第二步，在20世纪内实现农业、工业、国防和科学技术的现代化，使,https://www.dswxyjy.org.cn/GB/434461/434462/434830/index.html,对,
194,关系·发生于,(中共中央在延安召开有苏区、白区和红军代表参加的党的全国代表会议)-[发生于]->(延安),中共中央在延安召开有苏区、白区和红军代表参加的党的全国代表会议。会议批准了遵义会议以来党的政治路线，为迎接全国抗日战争的到来，作了重要准备。张闻天致开幕词指出：党目前的迫切任务，应该是巩固和平，争取民主权利，与实现对日抗战。而巩固我们的党，,https://www.dswxyjy.org.cn/GB/434461/434466/434697/index.html,对,
195,关系·发生于,(中共中央政治局在陕北吴起镇召开会议)-[发生于]->(陕北),中共中央政治局在陕北吴起镇召开会议。毛泽东作关于目前行动方针的报告，指出：陕甘支队自俄界出发已走二千里，到达这一地区的任务已经完成。现在全国革命总指挥部到这里，成为反革命进攻的中心。敌人对于我们的追击堵截不得不告一段落，现在是敌人“围剿”。,https://www.dswxyjy.org.cn/GB/434461/434471/434564/index.html,对,
196,关系·发生于,(在周恩来主持下，觉悟社在天津学生联合会办公室召开成立大会)-[发生于]->(天津),在周恩来主持下，觉悟社在天津学生联合会办公室召开成立大会。图为成立大会会址(今南开区东南角街草厂庵胡同41号)。,https://www.dswxyjy.org.cn/GB/434461/434470/434589/index.html,对,
197,关系·发生于,(中央执行委员会扩大会议在北京召开)-[发生于]->(北京),中央执行委员会扩大会议在北京召开。会议发布告农民书，提出解除农民困苦的根本办法是实行“耕地农有”。会议强调北方地区工作的重要性，决定加强对北方革命的领导。会后，中共北方区执行委员会成立，李大钊任书记。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
198,关系·发生于,(人民英雄纪念碑在天安门广场建成)-[发生于]->(天安门),人民英雄纪念碑在天安门广场建成。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
199,关系·领导,(习近平)-[领导]->(习近平主持召开中央全面依法治国委员会第一次会议),,https://www.dswxyjy.org.cn/GB/434461/434469/434627/index.html,对,
200,关系·领导,(毛泽东)-[领导]->(毛泽东主持政协第一届全国委员会常委会第二次会议并讲话),,https://www.dswxyjy.org.cn/GB/434461/434472/434506/index.html,对,
